slug,name,city,state,latitude,longitude,category,public_access,source,timezone,verified_at
30-foot-gold-statue-of-david,30-Foot Gold Statue of David,Louisville,KY,38.25657,-85.76144,roadside-oddities,open,https://www.roadsideamerica.com/tip/33453,America/Kentucky/Louisville,2026-09-08T14:15:10.228298+00:00
34-foot-stainless-steel-mary,34-Foot Stainless Steel Mary,New Castle,DE,39.69845,-75.5552,roadside-oddities,open,https://www.roadsideamerica.com/location/de,America/New_York,2026-09-08T18:31:51.932734+00:00
390th-memorial-museum,390th Memorial Museum,Tucson,AZ,32.14063,-110.87207,weird-history,limited,https://390th.org/,America/Phoenix,2026-09-10T19:46:38.653299+00:00
45-n-90-w-geographic-marker,45°N 90°W Geographic Marker,Poniatowski,WI,45,-90,roadside-oddities,open,https://www.marathoncounty.gov/,America/Chicago,2026-09-09T13:02:00.307533+00:00
826-valencia-pirate-supply-store,826 Valencia Pirate Supply Store,San Francisco,CA,37.75967,-122.42102,roadside-oddities,open,https://826valencia.org/,America/Los_Angeles,2026-09-10T18:16:36.855179+00:00
8th-avenue-reservoir,8th Avenue Reservoir,Nashville,TN,36.13943,-86.78075,roadside-oddities,roadside,https://www.atlasobscura.com/places/nashville-8th-ave-reservoir,America/Chicago,2026-09-09T12:59:24.207387+00:00
9-11-beam-memorial-to-local-flight-crew,9/11 Beam Memorial to Local Flight Crew,Stafford Springs,CT,41.96859,-72.34392,weird-history,open,https://www.roadsideamerica.com/tip/42981,America/New_York,2026-09-08T19:51:22.001704+00:00
a-everett-austin-facade-house,A. Everett Austin Facade House,Hartford,CT,41.78093,-72.70919,roadside-oddities,limited,https://www.atlasobscura.com/things-to-do/hartford-connecticut,America/New_York,2026-09-08T18:47:23.721893+00:00
a-healing-palindrome,A Healing Palindrome,New Harmony,IN,38.13186,-87.93856,roadside-oddities,open,https://kcymaerxthaere.com/historicalsite/a-healing-palindrome/,America/Chicago,2026-09-08T13:34:34.826362+00:00
a-world-of-accordions-museum,A World of Accordions Museum,Superior,WI,46.72086,-92.09826,museums,limited,https://www.worldofaccordions.org/,America/Chicago,2026-09-09T13:02:00.307533+00:00
abandoned-fairy-village,Abandoned Fairy Village,Waterbury,CT,41.53916,-73.08517,weird-history,limited,https://www.atlasobscura.com/places/abandoned-fairy-village,America/New_York,2026-09-08T18:39:47.144889+00:00
abandoned-haunted-house-complex,Abandoned Haunted House Complex,Mount Pleasant,WI,42.700534,-87.952816,haunted,limited,https://abandonedhauntedhouse.com/,America/Chicago,2026-09-05T22:12:28.444612+00:00
abandoned-lock-no-19,Abandoned Lock No. 19,Washington,WV,39.25509,-81.69157,weird-history,limited,https://www.atlasobscura.com/places/abandoned-lock-no-19,America/New_York,2026-09-08T03:30:19.766632+00:00
abandoned-mine-marker,abandoned mine marker,La Cienega,NM,35.464799,-106.12779,weird-history,roadside,https://www.blm.gov/programs/aml-environmental-cleanup/aml,America/Denver,
abandoned-train-cars-of-bartlett,Abandoned Train Cars of Bartlett,Bartlett,NH,44.07768,-71.28004,weird-history,limited,https://www.atlasobscura.com/places/the-abandoned-train-cars-of-bartlett-nh,America/New_York,2026-09-09T04:49:39.808526+00:00
abbie-gardner-sharp-cabin,Abbie Gardner Sharp Cabin,Arnolds Park,IA,43.3696,-95.1282,weird-history,limited,https://history.iowa.gov/history/sites/abigail-gardner-sharp-home,America/Chicago,2026-09-09T14:49:42.407907+00:00
abita-mystery-house,Abita Mystery House,Abita Springs,LA,30.47741,-90.03627,roadside-oddities,open,https://abitamysteryhouse.com/,America/Chicago,2026-09-09T13:02:15.154818+00:00
abraham-lincoln-birthplace-symbolic-cabin,Abraham Lincoln Birthplace Symbolic Cabin,Hodgenville,KY,37.53167,-85.73736,weird-history,open,https://www.nps.gov/abli/,America/New_York,2026-09-08T14:15:10.228298+00:00
abrams-creek-underwater-bridge,Abrams Creek Underwater Bridge,Tallassee,TN,35.55542,-83.99885,weird-history,limited,https://www.atlasobscura.com/places/abrams-creek-underwater-bridge,America/Chicago,2026-09-09T12:59:24.207387+00:00
absecon-lighthouse,Absecon Lighthouse,Atlantic City,NJ,39.36633,-74.41415,weird-history,open,https://abseconlighthouse.org/,America/New_York,2026-09-08T17:48:18.566953+00:00
abyss-pool,Abyss Pool,Yellowstone National Park,WY,44.41821,-110.5725,roadside-oddities,limited,https://www.nps.gov/yell/learn/nature/hydrothermal-features.htm,America/Denver,2026-09-10T19:07:50.075112+00:00
acadian-memorial,Acadian Memorial,St. Martinville,LA,30.12197,-91.82754,museums,open,https://www.acadianmemorial.org/,America/Chicago,2026-09-09T13:02:15.154818+00:00
action-wildlife-taxidermy-museum,Action Wildlife Taxidermy Museum,Goshen,CT,41.83254,-73.19709,museums,limited,https://www.roadsideamerica.com/location/ct,America/New_York,2026-09-08T19:51:22.001704+00:00
acton-bigfoot-at-yv-art-museum,Acton Bigfoot at YV Art Museum,Acton,MA,42.51841,-71.41825,cryptids,limited,https://www.roadsideamerica.com/tip/81876,America/New_York,2026-09-09T04:43:56.902716+00:00
actual-geographic-center-of-the-50-united-states,Actual Geographic Center of the 50 United States,Belle Fourche,SD,44.96719,-103.77157,roadside-oddities,private,https://www.visitbellefourche.com/attraction/center-of-the-nation-monument/,America/Denver,2026-09-10T18:11:24.763182+00:00
adams-museum,Adams Museum,Deadwood,SD,44.37584,-103.72949,weird-history,open,https://www.deadwoodhistory.com/about-us/properties/adams-museum/,America/Denver,2026-09-10T18:11:24.763182+00:00
adamson-ghost-town,Adamson Ghost Town,Adamson,OK,34.9241,-95.5471,weird-history,roadside,https://www.travelok.com/articles/oklahomaghosttowns,America/Chicago,
addy-sea-inn-ghost-stories,Addy Sea Inn Ghost Stories,Bethany Beach,DE,38.54358,-75.0573,haunted,limited,https://www.hauntedplaces.org/item/addy-sea-inn/,America/New_York,2026-09-08T18:31:51.932734+00:00
aden-mounds,Aden Mounds,Valley Park,MS,32.63735,-90.8376,weird-history,roadside,https://trails.mdah.ms.gov/aden,America/Chicago,2026-09-09T12:59:48.572362+00:00
admiral-fell-inn,Admiral Fell Inn,Baltimore,MD,39.2818,-76.5933,haunted,open,https://www.visitmaryland.org/listing/hotels-motels/admiral-fell-inn,America/New_York,2026-09-08T03:44:27.5898+00:00
adobe-town-wilderness-study-area,Adobe Town Wilderness Study Area,Sweetwater County,WY,41.25154,-108.28559,roadside-oddities,limited,https://www.blm.gov/programs/national-conservation-lands/wyoming/adobe-town-wsa,America/Denver,2026-09-10T19:07:50.075112+00:00
adobe-walls-battle-site,Adobe Walls Battle Site,Stinnett,TX,35.8937,-101.3295,weird-history,roadside,https://www.thc.texas.gov/,America/Chicago,2026-09-09T15:39:42.513669+00:00
advanced-redoubt,Advanced Redoubt,Pensacola,FL,30.35751,-87.30222,weird-history,open,https://www.nps.gov/guis/learn/historyculture/advanced-redoubt.htm,America/New_York,2026-09-09T13:54:54.613604+00:00
adventure-mine,Adventure Mine,Greenland,MI,46.77272,-89.08181,weird-history,limited,https://adventureminetours.com/,America/Detroit,2026-09-08T15:31:15.588137+00:00
african-burying-ground-memorial-park,African Burying Ground Memorial Park,Portsmouth,NH,43.07513,-70.75903,weird-history,open,https://www.portsmouthnh.gov/publicworks/portsmouth-african-burying-ground-memorial-park,America/New_York,2026-09-09T04:49:39.808526+00:00
african-queen-canal-cruise,African Queen Canal Cruise,Key Largo,FL,25.08685,-80.44486,weird-history,limited,https://africanqueenflkeys.com/,America/New_York,2026-09-09T13:54:54.613604+00:00
african-village-in-america-joe-minter,African Village in America — Joe Minter,Birmingham,AL,33.47593,-86.84317,roadside-oddities,limited,https://www.spacesarchives.org/explore/search-the-online-collection/jo-minter-african-village-in-america/,America/Chicago,2026-09-09T12:59:35.538091+00:00
africatown-heritage-house,Africatown Heritage House,Mobile,AL,30.73844,-88.05861,weird-history,open,https://clotilda.com/,America/Chicago,2026-09-09T12:59:35.538091+00:00
agate-bridge,Agate Bridge,Petrified Forest National Park,AZ,34.87531,-109.78956,roadside-oddities,open,https://www.nps.gov/pefo/learn/nature/petrified-wood.htm,America/Phoenix,2026-09-10T19:46:38.653299+00:00
agate-fossil-beds-national-monument,Agate Fossil Beds National Monument,Harrison,NE,42.42517,-103.79037,roadside-oddities,open,https://www.nps.gov/agfo/,America/Denver,2026-09-10T04:05:59.654525+00:00
ah-shi-sle-pah-wilderness,Ah-Shi-Sle-Pah Wilderness,Nageezi,NM,36.16255,-107.91645,roadside-oddities,limited,https://www.blm.gov/visit/ah-shi-sle-pah-wilderness,America/Denver,
ahuena-heiau,Ahuʻena Heiau,Kailua-Kona,HI,19.63889,-155.99738,weird-history,roadside,https://www.ahuena-heiau.org/,Pacific/Honolulu,2026-09-10T18:11:03.493189+00:00
aimakapa-fishpond,ʻAimakapā Fishpond,Kailua-Kona,HI,19.67772,-156.02581,weird-history,limited,https://www.nps.gov/kaho/planyourvisit/placestogo.htm,Pacific/Honolulu,2026-09-10T18:11:03.493189+00:00
ainsworth-army-air-field-historical-marker,Ainsworth Army Air Field Historical Marker,Johnstown,NE,42.5604,-100.0034,weird-history,roadside,https://history.nebraska.gov/marker-monday-ainsworth-army-air-field/,America/Chicago,2026-09-10T04:05:59.654525+00:00
air-force-armament-museum,Air Force Armament Museum,Eglin AFB,FL,30.46659,-86.56118,roadside-oddities,limited,https://afarmamentmuseum.com/,America/New_York,2026-09-09T13:54:54.613604+00:00
air-mobility-command-museum,Air Mobility Command Museum,Dover,DE,39.11869,-75.45664,museums,open,https://www.amcmuseum.org/visit/,America/New_York,2026-09-08T18:31:51.932734+00:00
air-power-park,Air Power Park,Hampton,VA,37.04272,-76.36602,museums,open,https://www.hampton.gov/4233/Air-Power-Park,America/New_York,2026-09-08T04:02:08.563059+00:00
air-zoo-aerospace-science-museum,Air Zoo Aerospace & Science Museum,Portage,MI,42.22867,-85.55563,museums,open,https://www.airzoo.org/,America/Detroit,2026-09-08T14:53:55.160019+00:00
airport-mesa-vortex,Airport Mesa Vortex,Sedona,AZ,34.8558,-111.77975,folklore,open,https://www.fs.usda.gov/recarea/coconino/recarea/?recid=54892,America/Phoenix,2026-09-10T19:46:38.653299+00:00
airport-road-weeping-bride,Airport Road Weeping Bride,Seaford,DE,38.62485,-75.57055,folklore,roadside,https://www.hauntedplaces.org/item/airport-road/,America/New_York,2026-09-08T18:31:51.932734+00:00
aj-mine-gastineau-mill-tour,AJ Mine Gastineau Mill Tour,Juneau,AK,58.26592,-134.33349,weird-history,limited,https://ajminegastineau.com/,America/Anchorage,2026-09-10T21:00:19.829278+00:00
ajo-historical-society-museum,Ajo Historical Society Museum,Ajo,AZ,32.37112,-112.85916,museums,limited,https://www.ajomuseumandhistoricalsociety.com/,America/Phoenix,2026-09-10T19:46:38.653299+00:00
ajo-mine-overlook,Ajo Mine Overlook,Ajo,AZ,32.37402,-112.88663,roadside-oddities,roadside,https://www.visitarizona.com/places/cities/ajo/,America/Phoenix,2026-09-10T19:46:38.653299+00:00
akt-lakota-museum-cultural-center,Aktá Lakota Museum & Cultural Center,Chamberlain,SD,43.82556,-99.32444,weird-history,open,https://aktalakota.stjo.org/,America/Chicago,2026-09-10T18:11:24.763182+00:00
al-capone-grave,Al Capone Grave,Hillside,IL,41.86294,-87.90642,weird-history,limited,https://www.catholiccemeterieschicago.org/,America/Chicago,2026-09-09T13:01:50.8603+00:00
al-greens-full-gospel-tabernacle-church,Al Green's Full Gospel Tabernacle Church,Memphis,TN,35.02623,-90.03782,weird-history,limited,https://www.atlasobscura.com/places/al-greens-full-gospel-tabernacle-church,America/Chicago,2026-09-09T12:59:24.207387+00:00
al-johnsons-goats-on-the-roof,Al Johnson's Goats on the Roof,Sister Bay,WI,45.18987,-87.11996,roadside-oddities,open,https://aljohnsons.com/,America/Chicago,2026-09-09T13:02:00.307533+00:00
al-ringling-theatre,Al. Ringling Theatre,Baraboo,WI,43.47111,-89.74361,roadside-oddities,limited,https://alringling.org/,America/Chicago,2026-09-09T13:02:00.307533+00:00
alabama-constitution-hall-park,Alabama Constitution Hall Park,Huntsville,AL,34.72862,-86.58737,weird-history,limited,https://earlyworks.com/achp/,America/Chicago,2026-09-09T12:59:35.538091+00:00
alabama-fan-club-and-museum,Alabama Fan Club and Museum,Fort Payne,AL,34.43287,-85.73188,weird-history,open,https://fortpayne.org/community/museums/,America/Chicago,2026-09-09T12:59:35.538091+00:00
alabama-museum-of-natural-history-hodges-meteorite,Alabama Museum of Natural History — Hodges Meteorite,Tuscaloosa,AL,33.21189,-87.54398,roadside-oddities,open,https://almnh.museums.ua.edu/,America/Chicago,2026-09-09T12:59:35.538091+00:00
alabama-museum-of-the-health-sciences,Alabama Museum of the Health Sciences,Birmingham,AL,33.49931,-86.80439,museums,open,https://www.uab.edu/amhs/visit,America/Chicago,2026-09-09T12:59:35.538091+00:00
alabama-music-hall-of-fame,Alabama Music Hall of Fame,Tuscumbia,AL,34.71276,-87.70695,weird-history,open,https://www.alamhof.org/,America/Chicago,2026-09-09T12:59:35.538091+00:00
alabama-veterans-museum-archives,Alabama Veterans Museum & Archives,Athens,AL,34.80675,-86.9702,weird-history,open,https://www.alabamaveteransmuseum.com/,America/Chicago,2026-09-09T12:59:35.538091+00:00
alabaster-caverns-state-park,Alabaster Caverns State Park,Freedom,OK,36.69824,-99.13333,roadside-oddities,limited,https://www.travelok.com/state-parks/alabaster-caverns-state-park,America/Chicago,
aladdin-general-store,Aladdin General Store,Aladdin,WY,44.64006,-104.18264,roadside-oddities,limited,https://travelwyoming.com/listing/aladdin-general-store/24/,America/Denver,2026-09-10T19:07:50.075112+00:00
alan-freeds-jukebox-grave,Alan Freed's Jukebox Grave,Cleveland,OH,41.51413,-81.59282,weird-history,open,https://www.atlasobscura.com/places/grave-of-alan-freed,America/New_York,2026-09-08T02:02:43.398883+00:00
alaska-aviation-museum,Alaska Aviation Museum,Anchorage,AK,61.17918,-149.97256,weird-history,open,https://alaskaairmuseum.org/,America/Anchorage,2026-09-10T21:00:19.829278+00:00
alaska-highway-end-mile-1422-marker,Alaska Highway End — Mile 1422 Marker,Delta Junction,AK,64.03787,-145.73007,weird-history,open,https://www.travelalaska.com/destinations/cities-towns/delta-junction,America/Anchorage,2026-09-10T21:00:19.829278+00:00
alaska-islands-ocean-visitor-center,Alaska Islands & Ocean Visitor Center,Homer,AK,59.64114,-151.53998,museums,open,https://www.fws.gov/refuge/alaska-maritime/visit-us,America/Anchorage,2026-09-10T21:00:19.829278+00:00
alaska-law-enforcement-museum,Alaska Law Enforcement Museum,Anchorage,AK,61.21769,-149.88636,weird-history,limited,https://alaskatroopermuseum.com/,America/Anchorage,2026-09-10T21:00:19.829278+00:00
alaska-museum-of-science-nature,Alaska Museum of Science & Nature,Anchorage,AK,61.22522,-149.80785,museums,open,https://alaskamuseum.org/,America/Anchorage,2026-09-10T21:00:19.829278+00:00
alaska-native-brotherhood-hall,Alaska Native Brotherhood Hall,Sitka,AK,57.05068,-135.34123,weird-history,roadside,https://www.nps.gov/places/alaska-native-brotherhood-hall.htm,America/Anchorage,2026-09-10T21:00:19.829278+00:00
alaska-native-heritage-center,Alaska Native Heritage Center,Anchorage,AK,61.23272,-149.71642,weird-history,open,https://www.alaskanative.net/,America/Anchorage,2026-09-10T21:00:19.829278+00:00
alaska-state-museum,Alaska State Museum,Juneau,AK,58.29994,-134.41611,museums,open,https://museums.alaska.gov/,America/Anchorage,2026-09-10T21:00:19.829278+00:00
alaska-wild-berry-products-chocolate-waterfall,Alaska Wild Berry Products Chocolate Waterfall,Anchorage,AK,61.17316,-149.86245,roadside-oddities,open,https://www.alaskawildberryproducts.com/,America/Anchorage,2026-09-10T21:00:19.829278+00:00
alaskan-hotel-bar,Alaskan Hotel & Bar,Juneau,AK,58.30028,-134.405,haunted,open,https://www.thealaskanhotel.com/,America/Anchorage,2026-09-10T21:00:19.829278+00:00
albany-bulb,Albany Bulb,Albany,CA,37.89019,-122.32569,roadside-oddities,open,https://www.albanyca.gov/Parks/Albany-Bulb-Neck-Waterfront-Trail,America/Los_Angeles,2026-09-10T18:16:36.855179+00:00
albany-shoe-tree,Albany Shoe Tree,Albany,IN,40.29242,-85.25238,roadside-oddities,roadside,https://www.atlasobscura.com/places/albany-shoe-tree,America/Indiana/Indianapolis,2026-09-08T13:53:25.695107+00:00
albatwitch-chickies-rock,Albatwitch — Chickies Rock,West Hempfield Township,PA,40.05231,-76.52491,cryptids,limited,https://susquehannagreenway.org/news-and-stories/susquehanna-greenway-ghouls-legends/,America/New_York,2026-09-07T15:27:08.742137+00:00
albert-the-bull,Albert the Bull,Audubon,IA,41.7218,-94.9287,roadside-oddities,open,https://www.auduboniowa.org/,America/Chicago,2026-09-09T14:49:42.407907+00:00
alcatraz-island,Alcatraz Island,San Francisco,CA,37.82676,-122.42302,weird-history,limited,https://www.nps.gov/alca/,America/Los_Angeles,2026-09-10T18:16:36.855179+00:00
alderson-lion-historical-marker,Alderson Lion Historical Marker,Alderson,WV,37.72538,-80.64115,folklore,roadside,https://www.wgpfoundation.org/historic-markers/alderson-lion/,America/New_York,2026-09-08T03:30:19.766632+00:00
aldis-hill-wolf-monument,Aldis Hill Wolf Monument,St. Albans,VT,44.81549,-73.06676,weird-history,open,https://www.atlasobscura.com/places/aldis-hill-wolf-monument,America/New_York,2026-09-08T16:08:01.377449+00:00
aldrich-coal-mine-museum,Aldrich Coal Mine Museum,Montevallo,AL,33.10812,-86.8932,weird-history,limited,https://www.cityofmontevallo.com/AldrichCoalMineMuseum.aspx,America/Chicago,2026-09-09T12:59:35.538091+00:00
aleister-crowleys-magickal-retirement-cabin,Aleister Crowley's Magickal Retirement Cabin,Hebron,NH,43.69435,-71.80538,haunted,private,https://www.atlasobscura.com/places/aleister-crowley-s-magickal-retirement,America/New_York,2026-09-09T04:49:39.808526+00:00
alekoko-menehune-fishpond,ʻAlekoko — Menehune Fishpond,Līhuʻe,HI,21.94868,-159.37232,folklore,roadside,https://www.gohawaii.com/islands/kauai,Pacific/Honolulu,2026-09-10T18:11:03.493189+00:00
aleutian-world-war-ii-national-historic-area-visitor-center,Aleutian World War II National Historic Area Visitor Center,Unalaska,AK,53.9143,-166.5197,weird-history,limited,https://www.nps.gov/aleu/planyourvisit/visitorcenters.htm,America/Anchorage,2026-09-10T21:00:19.829278+00:00
alex-haley-museum-interpretive-center,Alex Haley Museum & Interpretive Center,Henning,TN,35.67337,-89.57646,weird-history,limited,https://www.tn.gov/historicalcommission/state-programs/state-historic-sites.html,America/Chicago,2026-09-09T12:59:24.207387+00:00
alexander-art-trail,Alexander Art Trail,Alexander,ME,45.056,-67.4956,roadside-oddities,open,https://www.atlasobscura.com/places/alexander-art-trail,America/New_York,2026-09-09T04:54:23.476824+00:00
alexander-baldwin-sugar-museum,Alexander & Baldwin Sugar Museum,Puʻunēnē,HI,20.86936,-156.45507,weird-history,open,https://sugarmuseum.com/,Pacific/Honolulu,2026-09-10T18:11:03.493189+00:00
alfie-norville-gem-mineral-museum,Alfie Norville Gem & Mineral Museum,Tucson,AZ,32.2201,-110.97126,museums,limited,https://gemandmineralmuseum.arizona.edu/,America/Phoenix,2026-09-10T19:46:38.653299+00:00
alibates-flint-quarries-national-monument,Alibates Flint Quarries National Monument,Fritch,TX,35.5817,-101.7052,weird-history,limited,https://www.nps.gov/alfl/,America/Chicago,2026-09-09T15:39:42.513669+00:00
alice-flaggs-grave,Alice Flagg’s Grave,Pawleys Island,SC,33.46732,-79.1386,haunted,open,https://www.atlasobscura.com/places/alice-flagg-s-grave,America/New_York,2026-09-09T05:53:13.784429+00:00
alien,Alien Rock Formation near Cliff Dwellers,Marble Canyon,AZ,36.782399,-111.766073,ufos,limited,https://www.openstreetmap.org/node/5596600521,America/Denver,
alien-fresh-jerky,Alien Fresh Jerky,Baker,CA,35.26853,-116.07051,ufos,open,https://www.alienfreshjerky.com/,America/Los_Angeles,2026-09-10T18:16:36.855179+00:00
alien-museum,Alien Museum at Rockin' Rollers,Santa Fe,NM,35.662973,-105.998555,ufos,limited,https://www.santafe.org/things-to-do/family-activities/,America/Denver,2026-09-06T01:53:15.49385+00:00
alien-research-center,Alien Research Center,Hiko,NV,37.53297,-115.24259,ufos,open,https://travelnevada.com/weird-nevada/alien-research-center/,America/Los_Angeles,
alien-woman,"Alien Woman Hoodoo, Bisti Badlands",West Hammond,NM,36.270912,-108.226433,ufos,limited,https://www.blm.gov/visit/bisti-de-na-zin-wilderness,America/Denver,2026-09-07T02:03:56.500228+00:00
alien-zone-area-51,Alien Zone Area 51,Roswell,NM,33.39505,-104.52218,ufos,open,https://www.roswellufomuseum.com/area-attractions,America/Denver,
alkali-flat-trail,Alkali Flat Trail,Alamogordo,NM,32.7984,-106.2337,roadside-oddities,limited,https://www.nps.gov/whsa/planyourvisit/alkali-flat-trail.htm,America/Denver,
all-saints-way,All Saints Way,Boston,MA,42.36634,-71.0525,folklore,limited,https://www.atlasobscura.com/places/all-saints-way,America/New_York,2026-09-09T04:43:56.902716+00:00
allatoona-pass-deep-cut,Allatoona Pass Deep Cut,Emerson,GA,34.11494,-84.71594,weird-history,open,https://gastateparks.org/AllatoonaPassBattlefield,America/New_York,2026-09-09T15:16:01.869371+00:00
allegan-county-old-jail-museum,Allegan County Old Jail Museum,Allegan,MI,42.52857,-85.85297,museums,limited,https://alleganchamber.org/members/allegan-county-historical-society/,America/Detroit,2026-09-08T15:12:49.285859+00:00
alleged-ufo-skip-site,Alleged UFO Skip Site,Corona,NM,33.95219,-105.33121,ufos,limited,https://www.blm.gov/visit/alleged-ufo-skip-site,America/Denver,
allens-conoco-fillin-station,Allen's Conoco Fillin' Station,Commerce,OK,36.933,-94.87747,roadside-oddities,roadside,https://www.oklahomaroute66.com/,America/Chicago,
alligator-adventure,Alligator Adventure,North Myrtle Beach,SC,33.79974,-78.73738,roadside-oddities,limited,https://alligatoradventure.com/,America/New_York,2026-09-09T05:53:13.784429+00:00
alluvial-decoder-at-crabtree-creek,Alluvial Decoder at Crabtree Creek,Raleigh,NC,35.83698,-78.67369,roadside-oddities,open,https://www.atlasobscura.com/places/alluvial-decoder-crabtree-creek,America/New_York,2026-09-09T05:34:33.398594+00:00
alpine-tunnel-historic-district,Alpine Tunnel Historic District,Pitkin,CO,38.64583,-106.40889,weird-history,limited,https://www.fs.usda.gov/recarea/gmug/recarea/?recid=32966,America/Denver,2026-09-10T19:13:08.906905+00:00
als-oasis-giant-bison,Al's Oasis Giant Bison,Oacoma,SD,43.80299,-99.38236,roadside-oddities,open,https://www.als-oasis.com/,America/Chicago,2026-09-10T18:11:24.763182+00:00
